"onset" "subj" "trial"
"1176" 552 9 485
"1177" 308 9 486
"1178" 580 9 486
"1179" -364 9 487
"1180" -68 9 487
"1181" 332 9 487
"1182" -364 9 488
"1183" 448 9 488
"1184" -108 9 489
"1185" 276 9 489
"1186" 408 9 489
"1187" 484 9 489
"1188" 264 9 490
"1189" 560 9 490
"1190" -256 9 491
"1191" -16 9 491
"1192" 576 9 491
"1193" -16 9 492
"1194" -396 9 493
"1195" -96 9 493
"1196" 572 9 493
"1197" -344 9 494
"1198" 596 9 494
"1199" 572 9 495
"1200" -68 9 496
"1201" 300 9 496
"1202" 484 9 496
"1203" -4 9 497
"1204" 456 9 497
"1205" -232 9 498
"1206" 444 9 498
"1207" -20 9 499
"1208" 376 9 499
"1209" 532 9 499
"1210" -260 9 500
"1211" 384 9 500
"1212" 32 9 501
"1213" 552 9 501
"1214" 80 9 502
"1215" 448 9 502
"1216" 412 9 503
"1217" -348 9 504
"1218" -96 9 504
"1219" 248 9 504
"1220" 560 9 504
"1221" -340 9 505
"1222" 472 9 505
"1223" 348 9 506
"1224" -52 9 507
"1225" 588 9 507
"1226" -208 9 508
"1227" 512 9 508
"1228" 60 9 509
"1229" 360 9 509
"1230" -204 9 510
"1231" 324 9 510
"1232" -52 9 511
"1233" 352 9 511
"1234" 536 9 511
"1235" -20 9 512
"1236" -148 9 513
"1237" 392 9 513
"1238" -268 9 514
"1239" 268 9 514
"1240" 552 9 514
"1241" -280 9 515
"1242" -8 9 515
"1243" 348 9 515
"1244" 448 9 515
"1245" 40 9 516
"1246" 336 9 516
"1247" 552 9 516
"1248" -256 9 517
"1249" -8 9 517
"1250" 504 9 517
"1251" -372 9 518
"1252" -108 9 518
"1253" 520 9 518
"1254" 312 9 519
"1255" 536 9 519
"1256" 544 9 519
"1257" 84 9 520
"1258" 600 9 520
"1259" 492 9 521
"1260" -280 9 522
"1261" -84 9 522
"1262" 388 9 522
"1263" 524 9 522
"1264" 316 9 523
"1265" 440 9 523
"1266" 548 9 523
"1267" -312 9 524
"1268" 328 9 524
"1269" -96 9 525
"1270" 428 9 525
"1271" -272 9 526
"1272" -288 9 527
"1273" 584 9 527
"1274" -388 9 528
"1275" -240 9 528
"1276" 496 9 528
"1277" 388 9 529
"1278" 584 9 529
"1279" -152 9 530
"1280" 308 9 530
"1281" 532 9 530
"1282" -244 9 531
"1283" -44 9 531
"1284" 364 9 531
"1285" -176 9 532
"1286" 316 9 532
"1287" 596 9 532
"1288" 260 9 533
"1289" -72 10 534
"1290" -16 10 534
"1291" 480 10 534
"1292" -88 10 535
"1293" -68 10 535
"1294" -352 10 536
"1295" 28 10 536
"1296" -216 10 537
"1297" 428 10 537
"1298" -112 10 538
"1299" 300 10 538
"1300" -356 10 539
"1301" 564 10 539
"1302" -336 10 540
"1303" -316 10 540
"1304" -144 10 540
"1305" 396 10 540
"1306" -288 10 541
"1307" 396 10 541
"1308" -364 10 542
"1309" -96 10 542
"1310" -232 10 543
"1311" 340 10 543
"1312" 44 10 544
"1313" 408 10 544
"1314" 100 10 545
"1315" 476 10 545
"1316" -16 10 546
"1317" 4 10 546
"1318" -148 10 547
"1319" -112 10 547
"1320" 224 10 547
"1321" 312 10 547
"1322" -268 10 548
"1323" -232 10 548
"1324" 308 10 548
"1325" 420 10 548
"1326" -380 10 549
"1327" -124 10 549
"1328" 360 10 549
"1329" -356 10 550
"1330" -88 10 550
"1331" 332 10 550
"1332" 360 10 550
"1333" -344 10 551
"1334" 392 10 551
"1335" 368 10 552
"1336" -240 10 553
"1337" 344 10 553
"1338" -140 10 554
"1339" 384 10 554
"1340" -24 10 555
"1341" 424 10 555
"1342" -12 10 556
"1343" 472 10 556
"1344" -348 10 557
"1345" 352 10 557
"1346" -140 10 558
"1347" 336 10 558
"1348" -212 10 559
"1349" -212 10 559
"1350" 332 10 559
"1351" -280 10 560
"1352" 368 10 560
"1353" -140 10 561
"1354" 368 10 561
"1355" -80 10 562
"1356" 276 10 562
